iter	Logloss
273	0.4419472737
274	0.4416030814
275	0.4412232937
276	0.4407254062
277	0.4401428471
278	0.4400502511
279	0.439558766
280	0.4393326028
281	0.4389578434
282	0.4387686988
283	0.4384762111
284	0.4381346322
285	0.4377948572
286	0.4375541283
287	0.4373299524
288	0.4370610829
289	0.4366311158
290	0.4362023564
291	0.4358304864
292	0.4354201762
293	0.4350248652
294	0.4347869459
295	0.4346207905
296	0.4343871311
297	0.4340422156
298	0.433679802
299	0.4333102456
300	0.4329028623
301	0.4326515442
302	0.4323373506
303	0.4318882414
304	0.4315904328
305	0.4313272803
306	0.4309578304
307	0.4307344076
308	0.4304912778
309	0.4301973263
310	0.4299586386
311	0.4295428031
312	0.4293538956
313	0.4287729098
314	0.4285099038
315	0.428202422
316	0.4280491612
317	0.4275431456
318	0.4270716144
319	0.4265201885
320	0.4263127955
321	0.4259464411
322	0.425591464
323	0.4252323951
324	0.424805855
325	0.4244791736
326	0.4242033199
327	0.4239420741
328	0.423631502
329	0.4231255052
330	0.4226401522
331	0.4222870957
332	0.4219075424
333	0.4216205094
334	0.4214488004
335	0.4211476396
336	0.4209721826
337	0.4206196631
338	0.4204121856
339	0.420263565
340	0.4200591545
341	0.4197744617
342	0.4194172148
343	0.41912017
344	0.4187729537
345	0.4185658565
346	0.418217147
347	0.4178707241
348	0.4175417296
349	0.4170392944
350	0.4166520578
351	0.4162323498
352	0.4160530624
353	0.41580363
354	0.4154932399
355	0.4151256277
356	0.4149258959
357	0.4146849715
358	0.4141805051
359	0.4137979692
360	0.4135265444
361	0.4132682132
362	0.412864569
363	0.4125786333
364	0.4123320091
365	0.4120384903
366	0.4118002551
367	0.4114274572
368	0.4109798476
369	0.4107315309
370	0.4102300993
371	0.4099903001
372	0.409536013
373	0.4093010782
374	0.4091219382
375	0.4087408473
376	0.4080761434
377	0.407772937
378	0.4074724317
379	0.4073172408
380	0.4070427679
381	0.4067141858
382	0.4065282736
383	0.4063994002
384	0.4060479952
385	0.4056445174
386	0.4051755213
387	0.4048326597
388	0.4045903359
389	0.4043518352
390	0.4040725318
391	0.4038055682
392	0.4034658529
393	0.4031504994
394	0.4029376038
395	0.4027153192
396	0.4025599039
397	0.4023600064
398	0.4021634183
399	0.4018178879
400	0.4013735362
401	0.4009799423
402	0.4007631852
403	0.4005383087
404	0.400349535
405	0.4002231609
406	0.3998809064
407	0.3996660442
408	0.3993105157
409	0.3987474466
410	0.3984649834
411	0.3981062585
412	0.3979216971
413	0.3976409192
414	0.397313678
415	0.3970867763
416	0.3967740972
417	0.3964852152
418	0.3962242346
419	0.3959771423
420	0.3958145351
421	0.3955691141
422	0.3953559356
423	0.3952366454
424	0.3949727449
425	0.3947593977
426	0.3945905814
427	0.3942995832
428	0.3938280998
429	0.3936468663
430	0.3935181765
431	0.3932048718
432	0.3929504909
433	0.3926898518
434	0.3923210609
435	0.3920046316
436	0.3917640344
437	0.3915328356
438	0.3913885645
439	0.3912459769
440	0.3908985159
441	0.3907350769
442	0.3904919139
443	0.3902556835
444	0.390070849
445	0.389894357
446	0.3896722321
447	0.3895300931
448	0.3892309337
449	0.3890535378
450	0.3887375261
451	0.3885562956
452	0.3883611309
453	0.3881500742
454	0.3878341496
455	0.3878072343
456	0.3874964406
457	0.3872407805
458	0.3869912282
459	0.3868550934
460	0.3866332343
461	0.3864603193
462	0.3863013958
463	0.386092228
464	0.3859822829
465	0.385599281
466	0.3853596105
467	0.3851822642
468	0.3849139488
469	0.384644798
470	0.3843900154
471	0.3842603742
472	0.3840147707
473	0.3837108669
474	0.3834826006
475	0.3829598083
476	0.3826765712
477	0.3825221703
478	0.3822235128
479	0.3819491883
480	0.3818519923
481	0.3816259563
482	0.3813471324
483	0.3808718273
484	0.3806154307
485	0.3804632614
486	0.3801889365
487	0.3799956196
488	0.3796940844
489	0.3795209146
490	0.379411848
491	0.3791689044
492	0.3789209371
493	0.3786005773
494	0.3781474823
495	0.3780124522
496	0.3778817435
497	0.377610119
498	0.3773915457
499	0.3771265601
500	0.3769515221
501	0.3767685868
502	0.3765445476
503	0.3764255498
504	0.3760760857
505	0.3758780185
506	0.3756577189
507	0.3756345304
508	0.3753632711
509	0.3751484793
510	0.3749061704
511	0.3746836607
512	0.3743265018
513	0.3739724321
514	0.3736108772
515	0.3734835927
516	0.3732169866
517	0.3729626817
518	0.3728312534
519	0.3724472498
520	0.3723330604
521	0.372091981
522	0.371938844
523	0.3717717798
524	0.3714915718
525	0.3711371136
526	0.3709971035
527	0.3707862678
528	0.3704958738
529	0.3702816057
530	0.3699989652
531	0.3698675623
532	0.3695834112
533	0.3692673183
534	0.3689389492
535	0.3687457829
536	0.3684298075
537	0.3681510755
538	0.3677643724
539	0.3676064712
540	0.3674370121
541	0.3672361569
542	0.3668882748
543	0.3666417503
544	0.3664860831
545	0.3661468409
546	0.3658549198
547	0.3655823813
548	0.3653769838
549	0.3651611263
550	0.3650482358
551	0.3648462963
552	0.364688209
553	0.3644386271
554	0.3642721911
555	0.3639701616
556	0.3638004178
557	0.3635763228
558	0.3633444906
559	0.3630849681
560	0.3628652766
561	0.3626654179
562	0.3625434482
563	0.3621469382
564	0.3617608148
565	0.3617019448
566	0.3616230593
567	0.3613595989
568	0.3611440458
569	0.3608368152
570	0.3604965187
571	0.3601625252
572	0.3599730467
573	0.3597983613
574	0.3596151977
575	0.359335465
576	0.359121124
577	0.358947547
578	0.3587041378
579	0.3584722767
580	0.3581125362
581	0.3578556537
582	0.3576406995
583	0.3573676056
584	0.3570365422
585	0.3569076866
586	0.3564783795
587	0.356224933
588	0.3560349623
589	0.3558610443
590	0.3557137128
591	0.3555543916
592	0.3554050121
593	0.3551701149
594	0.355012321
595	0.3547727145
596	0.3545743885
597	0.3544762648
598	0.3543384689
599	0.3541721588
600	0.353942219
601	0.3538375325
602	0.3537386796
603	0.3535100405
604	0.3533123451
605	0.353188273
606	0.3530629661
607	0.3528995983
608	0.3526443266
609	0.3524228768
610	0.3521966542
611	0.352087524
612	0.3519357107
613	0.3517196616
614	0.3516245539
615	0.3514169858
616	0.3512551821
617	0.3510271418
618	0.3509242752
619	0.3504730159
620	0.3504090211
621	0.3502351154
622	0.3499979402
623	0.3497276219
624	0.3494810891
625	0.3493295756
626	0.3490025439
627	0.3488279109
628	0.348574915
629	0.3484462054
630	0.3482092765
631	0.3480257751
632	0.3477754613
633	0.3474535522
634	0.3472895792
635	0.3470671752
636	0.3469214717
637	0.346760654
638	0.3465745649
639	0.3463792057
640	0.3462675724
641	0.3460606037
642	0.3459790248
643	0.3458605188
644	0.3456838996
645	0.345570854
646	0.3452558045
647	0.3450884276
648	0.3448637108
649	0.3446710522
650	0.3444247166
651	0.3443191817
652	0.3441146299
653	0.3437920467
654	0.3436397343
655	0.3434586892
656	0.3432013246
657	0.34310957
658	0.3430004037
659	0.3427858869
660	0.342652718
661	0.342484983
662	0.3422311225
663	0.3419968249
664	0.3418727005
665	0.3417855982
666	0.3415046352
667	0.3412715723
668	0.3411736496
669	0.3409952603
670	0.3408542554
671	0.3405454085
672	0.3403421826
673	0.3401336672
674	0.3399693607
675	0.3394935721
676	0.339283786
677	0.3391454083
678	0.3390126013
679	0.338825926
680	0.3386579152
681	0.3384690243
682	0.3383738134
683	0.3381936483
684	0.3380228621
685	0.3378271164
686	0.3377223025
687	0.3374790346
688	0.3372708898
689	0.3369435464
690	0.3366534386
691	0.3365028931
692	0.33639944
693	0.3363068386
694	0.3358936117
695	0.3355441453
696	0.3354235528
697	0.335204321
698	0.33495434
699	0.3346844968
700	0.3345896241
701	0.3344832343
702	0.3342990048
703	0.3339589649
704	0.333772276
705	0.3335099044
706	0.3332520752
707	0.3329854172
708	0.332743792
709	0.3326220731
710	0.3324256795
711	0.3322900472
712	0.3321312835
713	0.3319959074
714	0.3318284318
715	0.3318021843
716	0.3316586824
717	0.3315259082
718	0.3313112759
719	0.3311142013
720	0.3307786184
721	0.3306066137
722	0.330445075
723	0.3303172072
724	0.330152646
725	0.329980099
726	0.3296671453
727	0.3293980411
728	0.3290586908
729	0.3289171635
730	0.3287340045
731	0.3284051511
732	0.328303893
733	0.3281013937
734	0.3279347677
735	0.3276781921
736	0.3274184751
737	0.3271580178
738	0.3270260532
739	0.326828605
740	0.326666422
741	0.3265624608
742	0.3263283463
743	0.3259087224
744	0.3256625254
745	0.3255530617
746	0.3254158139
747	0.3252792455
748	0.3250849901
749	0.3248401121
750	0.3246579251
751	0.324374918
752	0.3242806468
753	0.3240355613
754	0.3236908708
755	0.3235555693
756	0.3234266625
757	0.3232754851
758	0.3230324066
759	0.3228397971
760	0.3226888428
761	0.3225275389
762	0.322162687
763	0.3220046854
764	0.321726817
765	0.3214997427
766	0.3213362463
767	0.3211924707
768	0.3210981206
769	0.3208500075
770	0.3205116862
771	0.3203270139
772	0.3202101108
773	0.3200831516
774	0.3199095573
775	0.3197578256
776	0.3195503707
777	0.3193819358
778	0.3191662533
779	0.3189823719
780	0.3188055078
781	0.3186281213
782	0.3183476396
783	0.3181060082
784	0.317903617
785	0.3178046363
786	0.3175625893
787	0.3172113908
788	0.3168498229
789	0.3166919542
790	0.3163980616
791	0.3162094317
792	0.3159505161
793	0.3155729867
794	0.3154161182
795	0.3151779229
796	0.3150466001
797	0.3148201712
798	0.3147147531
799	0.3145612953
800	0.3143497167
801	0.3142744648
802	0.3140693876
803	0.3139188045
804	0.3137341972
805	0.313528309
806	0.3131735477
807	0.3129735113
808	0.312642905
809	0.3123372109
810	0.3120419818
811	0.31188183
812	0.3116454332
813	0.3114648536
814	0.3113214642
815	0.3112627241
816	0.3110816633
817	0.3106619278
818	0.3103580527
819	0.3101041641
820	0.3100277376
821	0.3098005921
822	0.3095355299
823	0.3093450379
824	0.3092301412
825	0.308944032
826	0.3087223292
827	0.3085732411
828	0.3083284983
829	0.3081545638
830	0.3078767426
831	0.3076749481
832	0.3074954288
833	0.3073235449
834	0.3070479458
835	0.3068829051
836	0.3066137937
837	0.3063955376
838	0.3062336102
839	0.3060220727
840	0.3058663334
841	0.3057326141
842	0.3056198827
843	0.3054296587
844	0.3052881403
845	0.3051653257
846	0.3050703349
847	0.3049215962
848	0.3047668025
849	0.304536466
850	0.3044317572
851	0.3042139372
852	0.3041328521
853	0.3039932892
854	0.303686111
855	0.3034521912
856	0.3031751755
857	0.3029219611
858	0.3027774853
859	0.3025299679
860	0.3022977325
861	0.302199877
862	0.3019503789
863	0.3017744516
864	0.3016299127
865	0.301436833
866	0.3011416347
867	0.3008359432
868	0.3007280668
869	0.3003743073
870	0.3002838872
871	0.3000906707
872	0.2999067893
873	0.2997648083
874	0.2996384118
875	0.2994821623
876	0.2993450809
877	0.2991544249
878	0.298972064
879	0.2987310643
880	0.2984824459
881	0.2984025419
882	0.2982713095
883	0.2981021786
884	0.2978034007
885	0.2975798612
886	0.2973997808
887	0.297266981
888	0.2970874801
889	0.2969195151
890	0.2967604926
891	0.2964566353
892	0.2962235504
893	0.2960412602
894	0.2958901963
895	0.2957057746
896	0.2956161356
897	0.2954991505
898	0.2952461617
899	0.2950880084
900	0.2948600098
901	0.2946108938
902	0.29436076
903	0.2942019127
904	0.2938537562
905	0.2937655155
906	0.293663006
907	0.2935322696
908	0.2933806856
909	0.2931133983
910	0.293043345
911	0.2928200679
912	0.2925849034
913	0.2923816324
914	0.2921258127
915	0.2919638135
916	0.2918010477
917	0.2915600337
918	0.2912854968
919	0.2912015886
920	0.2910126039
921	0.2908198589
922	0.290561539
923	0.290392929
924	0.2901300945
925	0.2898586234
926	0.2896946777
927	0.289478382
928	0.2892285074
929	0.2891333204
930	0.2887907323
931	0.2886298641
932	0.2883588003
933	0.2882089165
934	0.2880254046
935	0.2879307327
936	0.2875793463
937	0.2873731054
938	0.2872069906
939	0.287119064
940	0.2869639052
941	0.286777998
942	0.2864127891
943	0.2862017797
944	0.2859747391
945	0.2858314574
946	0.2856299297
947	0.2854003486
948	0.2851632152
949	0.2849540851
950	0.284838072
951	0.2846606254
952	0.2845465846
953	0.2845029715
954	0.2844412096
955	0.2842845599
956	0.284146306
957	0.2839708129
958	0.2838960757
959	0.2836949721
960	0.2835001909
961	0.2833606643
962	0.2831007748
963	0.282907416
964	0.2827547734
965	0.2825136784
966	0.282351617
967	0.2822416927
968	0.2820332096
969	0.2818782209
970	0.281845244
971	0.2816889558
972	0.2815905113
973	0.2814688237
974	0.2813387857
975	0.2811116896
976	0.2809473353
977	0.2807776441
978	0.2806261207
979	0.2805276093
980	0.2804149352
981	0.2801122767
982	0.2799932754
983	0.2798921123
984	0.2796018543
985	0.2794071665
986	0.2792867424
987	0.2792062696
988	0.2788837163
989	0.2785615001
990	0.2783130186
991	0.2781419886
992	0.2780795005
993	0.2779520427
994	0.2779092077
995	0.2777094658
996	0.2775039441
997	0.2774100325
998	0.277183358
999	0.2770010113
