model_name,train score,valid_score
lr,0.7941497146776981,0.7785207939508506
rf,1.0,0.7821006616257089
knn,0.8707118916458861,0.742875708884688
svc,0.8526200687293701,0.7821361058601133
et,1.0,0.7639059546313799
Hgb,0.9991951900297402,0.7593336483931948
ada,0.8944686918168562,0.7488657844990548
gb,0.9805321164305344,0.7609168241965972
xgb,1.0,0.7516776937618147
cat,0.979293309077088,0.7752362948960302
